captured_at,screen_id,evidence_type,screenshot,ui_xml,activity_dump,recording,notes
"2026-08-01T13:52:51.3543394-04:00","071_history_populated_test_notification","screen-state","evidence\screenshots\071_history_populated_test_notification-20260801-135246.png","evidence\ui-xml\071_history_populated_test_notification-20260801-135246.xml","evidence\activity\071_history_populated_test_notification-20260801-135246.txt","",""
"2026-08-01T13:53:22.9814073-04:00","072_history_notification_detail","screen-state","evidence\screenshots\072_history_notification_detail-20260801-135317.png","evidence\ui-xml\072_history_notification_detail-20260801-135317.xml","evidence\activity\072_history_notification_detail-20260801-135317.txt","",""
"2026-08-01T13:53:54.7715839-04:00","073_history_item_activity","screen-state","evidence\screenshots\073_history_item_activity-20260801-135350.png","evidence\ui-xml\073_history_item_activity-20260801-135350.xml","evidence\activity\073_history_item_activity-20260801-135350.txt","",""
"2026-08-01T13:54:48.8403309-04:00","074_history_item_changes","screen-state","evidence\screenshots\074_history_item_changes-20260801-135444.png","evidence\ui-xml\074_history_item_changes-20260801-135444.xml","evidence\activity\074_history_item_changes-20260801-135444.txt","",""
"2026-08-01T13:55:39.6355231-04:00","075_history_rule_triggered_filter_empty","screen-state","evidence\screenshots\075_history_rule_triggered_filter_empty-20260801-135526.png","evidence\ui-xml\075_history_rule_triggered_filter_empty-20260801-135526.xml","evidence\activity\075_history_rule_triggered_filter_empty-20260801-135526.txt","",""
"2026-08-01T13:56:01.0694268-04:00","076_history_dismissed_filter_empty","screen-state","evidence\screenshots\076_history_dismissed_filter_empty-20260801-135552.png","evidence\ui-xml\076_history_dismissed_filter_empty-20260801-135552.xml","evidence\activity\076_history_dismissed_filter_empty-20260801-135552.txt","",""
"2026-08-01T13:56:22.0728125-04:00","077_explore_scrolled_1","screen-state","evidence\screenshots\077_explore_scrolled_1-20260801-135617.png","evidence\ui-xml\077_explore_scrolled_1-20260801-135617.xml","evidence\activity\077_explore_scrolled_1-20260801-135617.txt","",""
"2026-08-01T13:56:46.8124096-04:00","078_explore_scrolled_2","screen-state","evidence\screenshots\078_explore_scrolled_2-20260801-135642.png","evidence\ui-xml\078_explore_scrolled_2-20260801-135642.xml","evidence\activity\078_explore_scrolled_2-20260801-135642.txt","",""
"2026-08-01T13:57:07.6568613-04:00","079_explore_scrolled_3","screen-state","evidence\screenshots\079_explore_scrolled_3-20260801-135703.png","evidence\ui-xml\079_explore_scrolled_3-20260801-135703.xml","evidence\activity\079_explore_scrolled_3-20260801-135703.txt","",""
"2026-08-01T13:57:27.0904428-04:00","080_explore_bottom","screen-state","evidence\screenshots\080_explore_bottom-20260801-135722.png","evidence\ui-xml\080_explore_bottom-20260801-135722.xml","evidence\activity\080_explore_bottom-20260801-135722.txt","",""
"2026-08-01T13:57:51.1077007-04:00","081_explore_bottom_2","screen-state","evidence\screenshots\081_explore_bottom_2-20260801-135746.png","evidence\ui-xml\081_explore_bottom_2-20260801-135746.xml","evidence\activity\081_explore_bottom_2-20260801-135746.txt","",""
"2026-08-01T13:58:21.9519130-04:00","082_explore_suggestion_rule_preview","screen-state","evidence\screenshots\082_explore_suggestion_rule_preview-20260801-135816.png","evidence\ui-xml\082_explore_suggestion_rule_preview-20260801-135816.xml","evidence\activity\082_explore_suggestion_rule_preview-20260801-135816.txt","",""
"2026-08-01T13:59:07.7381607-04:00","083_rules_not_triggering_help","screen-state","evidence\screenshots\083_rules_not_triggering_help-20260801-135902.png","evidence\ui-xml\083_rules_not_triggering_help-20260801-135902.xml","evidence\activity\083_rules_not_triggering_help-20260801-135902.txt","",""
"2026-08-01T14:01:33.2901838-04:00","084_cold_relaunch_persisted","screen-state","evidence\screenshots\084_cold_relaunch_persisted-20260801-140126.png","evidence\ui-xml\084_cold_relaunch_persisted-20260801-140126.xml","evidence\activity\084_cold_relaunch_persisted-20260801-140126.txt","",""
"2026-08-01T14:02:12.5920903-04:00","085_cold_relaunch_native_state","screen-state","evidence\screenshots\085_cold_relaunch_native_state-20260801-140205.png","evidence\ui-xml\085_cold_relaunch_native_state-20260801-140205.xml","evidence\activity\085_cold_relaunch_native_state-20260801-140205.txt","",""
"2026-08-01T14:02:59.3126815-04:00","086_rules_landscape_rotation","screen-state","evidence\screenshots\086_rules_landscape_rotation-20260801-140250.png","evidence\ui-xml\086_rules_landscape_rotation-20260801-140250.xml","evidence\activity\086_rules_landscape_rotation-20260801-140250.txt","",""
"2026-08-01T14:03:43.7686463-04:00","087_rules_landscape_native","screen-state","evidence\screenshots\087_rules_landscape_native-20260801-140337.png","evidence\ui-xml\087_rules_landscape_native-20260801-140337.xml","evidence\activity\087_rules_landscape_native-20260801-140337.txt","",""
"2026-08-01T14:15:00-04:00","F01_primary_navigation","flow-recording","","","","evidence\recordings\F01_primary_navigation-20260801-1415.mp4","Rules to History to Explore to Settings to Rules; sanitized test data only"
